Level,Category,Sentence
A1,CLAUSES/coordinated,I want to travel or I want to stay home.
A1,CLAUSES/coordinated,He likes ice cream but he doesn't like chocolate.
A1,CLAUSES/coordinated,I study hard and I get good grades.
A1,CLAUSES/coordinated,"They went to the park, but they didn't play games."
A1,CLAUSES/coordinated,She likes to listen to music and watch TV.
A1,CLAUSES/coordinated,After break we go to the class and play some games or study.
A1,CLAUSES/coordinated,Sometimes I go to the park with my friend and play tennis and football.
A1,CLAUSES/coordinated,I can clean or cook for you.
A1,CLAUSES/coordinated,They went to the cinema and watched a movie.
A1,CLAUSES/coordinated,He finished his homework and went to bed.
A1,CLAUSES/coordinated,She bought a new dress and wore it to the party.
A1,CLAUSES/coordinated,We had lunch and then went for a walk.
A1,CLAUSES/coordinated,They arrived at the station and took the train.
A1,CLAUSES/coordinated,I read the book and enjoyed every page.
A2,CLAUSES/coordinated,"First, go straight on the main road, then turn left at the second traffic light."
A2,CLAUSES/coordinated,"Start from the park, walk straight, and then take the first right."
A2,CLAUSES/coordinated,"Begin at the bus stop, walk past the grocery store, and then turn left at the bank."
A2,CLAUSES/coordinated,"Head towards the library, continue straight, and then turn right at the coffee shop."
A2,CLAUSES/coordinated,"Start at the train station, walk straight, and then take the first left."
A2,CLAUSES/coordinated,"Begin at the school, walk straight, and then turn right at the playground."
A2,CLAUSES/coordinated,"Head towards the shopping mall, continue straight, and then turn left at the cinema."
A2,CLAUSES/coordinated,"Start at the post office, walk straight, and then take the first right."
A2,CLAUSES/coordinated,"Begin at the gas station, walk straight, and then turn left at the convenience store."
B1,CLAUSES/coordinated,"By the time the sun set, they had already finished their picnic, so they decided to head back home, but on the way, they spotted a beautiful lake and decided to stay a while longer."
B1,CLAUSES/coordinated,"After the movie ended, they went to grab a bite to eat, and then they walked along the pier, talking about their favorite scenes, but the wind started to pick up, so they hurried back to their car."
B1,CLAUSES/coordinated,"When Sarah finally arrived at the party, she realized she was late, so she quickly grabbed a drink and joined the group, but then she saw her old friend from college and spent the rest of the evening catching up."
B1,CLAUSES/coordinated,"If you finish your homework early, you can play video games for an hour, and then you should take a break and read a book, or else you might get too tired and not enjoy your games."
B1,CLAUSES/coordinated,"As soon as the rain stopped, they decided to go for a walk in the park, and they found a hidden path that led to a small waterfall, but the path was slippery, so they had to be careful."
B1,CLAUSES/coordinated,"After the concert, they all went to a nearby café to discuss the performance, and they agreed that it was one of the best they had ever seen, but then they realized it was getting late, so they decided to call it a night."
B1,CLAUSES/coordinated,"When the train finally arrived at the station, they were relieved to be off, and they quickly gathered their bags and headed towards the exit, but then they noticed a lost dog and decided to help it find its owner."
B1,CLAUSES/coordinated,"If you want to learn a new language, you should start with basic vocabulary, and then move on to simple sentences, or you can join a language class, because it will give you a structured way to learn."
B1,CLAUSES/coordinated,"As soon as they finished their dinner, they decided to watch a movie, and they chose a comedy to lighten the mood, but halfway through, they got a call from a friend in need, so they paused the film and went to help."
B1,CLAUSES/coordinated,"Either you can stay at home and watch TV, or you can come with us to the park."
B1,CLAUSES/coordinated,You can either take the bus or drive your car to work today.
B1,CLAUSES/coordinated,"Either you finish your homework now, or you won't be able to play video games later."
B1,CLAUSES/coordinated,"Either we order pizza for dinner, or we cook something at home."
B1,CLAUSES/coordinated,"Either you apologize to your sister, or you won't get your allowance this week."
B1,CLAUSES/coordinated,"Either you study hard for the exam, or you won't pass the course."
B1,CLAUSES/coordinated,"Either you clean your room today, or you won't have any friends over."
B1,CLAUSES/coordinated,"Either you tell me the truth, or I will find out on my own."
B1,CLAUSES/coordinated,"Either you join the soccer team, or you can try out for the basketball team."
B1,CLAUSES/coordinated,"Either you help me with the dishes, or you can sweep the floor."
B1,CLAUSES/coordinated,"He likes to read books, and she enjoys watching movies."
B1,CLAUSES/coordinated,"We can go to the park, or we can stay at home."
B1,CLAUSES/coordinated,"She is very intelligent, but she doesn't always show it."
B1,CLAUSES/coordinated,"I will help you with your homework, and you can help me with mine."
B1,CLAUSES/coordinated,"They went to the store, and then they went to the park."
B1,CLAUSES/coordinated,"He is a good singer, but he doesn't like performing in public."
B1,CLAUSES/coordinated,"We can have pizza for dinner, or we can have pasta."
B1,CLAUSES/coordinated,"She is kind, and she is also very generous."
B1,CLAUSES/coordinated,"He plays the guitar, and he also writes songs."
B1,CLAUSES/coordinated,"We will meet at the cafe, and then we will go to the movie."
B2,CLAUSES/coordinated,We neither go to the gym nor do yoga at home.
B2,CLAUSES/coordinated,She neither likes coffee nor tea.
B2,CLAUSES/coordinated,He neither plays football nor basketball.
B2,CLAUSES/coordinated,They neither watch TV nor read books.
B2,CLAUSES/coordinated,We neither travel by car nor by train.
B2,CLAUSES/coordinated,She neither speaks French nor Spanish.
B2,CLAUSES/coordinated,He neither works at home nor in the office.
B2,CLAUSES/coordinated,They neither eat meat nor fish.
B2,CLAUSES/coordinated,We neither swim in the morning nor in the evening.
B2,CLAUSES/coordinated,She neither writes poetry nor short stories.
B2,CLAUSES/coordinated,"She is talented, not only as a singer but also as a dancer."
B2,CLAUSES/coordinated,"He is generous, not only with his time but also with his resources."
B2,CLAUSES/coordinated,"The restaurant is popular, not only for its food but also for its ambiance."
B2,CLAUSES/coordinated,"The book is interesting, not only for its plot but also for its characters."
B2,CLAUSES/coordinated,"The event was successful, not only in terms of attendance but also in terms of feedback."
B2,CLAUSES/coordinated,"The product is innovative, not only in its design but also in its functionality."
B2,CLAUSES/coordinated,"The team performed well, not only in the first half but also in the second half."
B2,CLAUSES/coordinated,"The city is vibrant, not only during the day but also at night."
B2,CLAUSES/coordinated,"The course is beneficial, not only for beginners but also for advanced learners."
B2,CLAUSES/coordinated,"The film is captivating, not only for its visuals but also for its storytelling."
C1,CLAUSES/coordinated,"Not only did she manage the project efficiently, but also she ensured that all team members were motivated."
C1,CLAUSES/coordinated,"Not only was the food delicious, but the service was also impeccable."
C1,CLAUSES/coordinated,"Not only has the company expanded its market share, but it has also diversified its product line."
C1,CLAUSES/coordinated,"Not only did the students excel in academics, but they also demonstrated strong leadership skills."
C1,CLAUSES/coordinated,"Not only was the concert sold out, but the audience was also extremely enthusiastic."
C1,CLAUSES/coordinated,"Not only did the new policy reduce costs, but it also improved employee satisfaction."
C1,CLAUSES/coordinated,"Not only has the technology advanced rapidly, but it has also become more user-friendly."
C1,CLAUSES/coordinated,"Not only did the team win the championship, but they also set a new record."
C1,CLAUSES/coordinated,"Not only was the event well-organized, but the participants also enjoyed a variety of activities."
C1,CLAUSES/coordinated,"Not only has the economy recovered, but it has also shown signs of sustained growth."
C2,CLAUSES/coordinated,He didn't bring his wallet; nor did he remember his keys.
C2,CLAUSES/coordinated,"She never finished her homework, nor did she apologize for being late."
C2,CLAUSES/coordinated,"They didn't attend the meeting, nor did they inform anyone of their absence."
C2,CLAUSES/coordinated,"The book wasn't on the shelf, nor was it in the drawer."
C2,CLAUSES/coordinated,"He didn't speak the language, nor did he understand the culture."
C2,CLAUSES/coordinated,"She didn't have a plan, nor did she seem to care about the consequences."
C2,CLAUSES/coordinated,"They didn't offer any solutions, nor did they acknowledge the problem."
C2,CLAUSES/coordinated,"He didn't win the race, nor did he come close to the winner."
C2,CLAUSES/coordinated,"She didn't like the movie, nor did she find it entertaining."
C2,CLAUSES/coordinated,"They didn't provide any evidence, nor did they attempt to justify their claims."
A1,CLAUSES/declarative,I study English at college.
A1,CLAUSES/declarative,My friend is a nurse.
A1,CLAUSES/declarative,I'm living in Manchester.
A1,CLAUSES/declarative,It's very cheap and you can buy all you need.
A1,CLAUSES/declarative,He is very nice but sometimes he is a little crazy.
A1,CLAUSES/declarative,She likes to read books.
A1,CLAUSES/declarative,The cat sleeps on the sofa.
A1,CLAUSES/declarative,They are going to the park.
A1,CLAUSES/declarative,The sun is shining today.
A1,CLAUSES/declarative,We have a big garden.
A1,CLAUSES/declarative,My college is not very big.
A1,CLAUSES/declarative,This place isn't big.
A1,CLAUSES/declarative,I'm not bad.
A1,CLAUSES/declarative,He isn't here.
A1,CLAUSES/declarative,She isn't ready.
A1,CLAUSES/declarative,They are not friends.
A1,CLAUSES/declarative,The book isn't interesting.
A1,CLAUSES/declarative,The food is not spicy.
A1,CLAUSES/declarative,We aren't late.
A1,CLAUSES/declarative,The movie isn't funny.
A1,CLAUSES/declarative,She doesn't want to go.
A1,CLAUSES/declarative,They don't live here.
A1,CLAUSES/declarative,He doesn't speak Spanish.
A1,CLAUSES/declarative,We don't need help.
A1,CLAUSES/declarative,It doesn't rain today.
A1,CLAUSES/declarative,You don't understand.
A1,CLAUSES/declarative,I don't see him.
A1,CLAUSES/declarative,She doesn't work on weekends.
A1,CLAUSES/declarative,They don't like the movie.
A1,CLAUSES/declarative,He doesn't play football.
A1,CLAUSES/declarative,I can go to the park.
A1,CLAUSES/declarative,You should study harder.
A1,CLAUSES/declarative,He might come to the party.
A1,CLAUSES/declarative,She will be here soon.
A1,CLAUSES/declarative,We must finish this project.
A1,CLAUSES/declarative,They could help us.
A1,CLAUSES/declarative,It would be nice to see you.
A1,CLAUSES/declarative,I should call my friend.
A1,CLAUSES/declarative,You can ask the teacher.
A1,CLAUSES/declarative,He will bring the snacks.
A2,CLAUSES/declarative,I haven't seen him since last week.
A2,CLAUSES/declarative,She hasn't finished her homework yet.
A2,CLAUSES/declarative,They haven't been to the park today.
A2,CLAUSES/declarative,He hasn't got any plans for the weekend.
A2,CLAUSES/declarative,We haven't decided where to go on vacation.
A2,CLAUSES/declarative,You haven't called me in a while.
A2,CLAUSES/declarative,It hasn't rained here for months.
A2,CLAUSES/declarative,I haven't got enough time to do everything.
A2,CLAUSES/declarative,She hasn't eaten breakfast yet.
A2,CLAUSES/declarative,They haven't bought the tickets for the concert.
A2,CLAUSES/declarative,I can't believe we forgot to buy the tickets.
A2,CLAUSES/declarative,You won't be able to finish this project alone.
A2,CLAUSES/declarative,She couldn't find her keys anywhere this morning.
A2,CLAUSES/declarative,We shouldn't leave the window open at night.
A2,CLAUSES/declarative,He can't make it to the meeting tomorrow.
A2,CLAUSES/declarative,They won't understand the instructions if we don't explain clearly.
A2,CLAUSES/declarative,I couldn't sleep well last night because of the noise.
A2,CLAUSES/declarative,You shouldn't drive when you're feeling tired.
A2,CLAUSES/declarative,She can't come to the party because she has to work.
A2,CLAUSES/declarative,We won't have enough time to do everything if we don't hurry.
B1,CLAUSES/declarative,"Yes, I do have a favorite restaurant."
B1,CLAUSES/declarative,I do miss you.
B1,CLAUSES/declarative,I do apologise for the change but I can't be there on the 28th of June.
B1,CLAUSES/declarative,"After all, you did say that you wanted to go somewhere with your friends."
B1,CLAUSES/declarative,I do believe you are right.
B1,CLAUSES/declarative,I do appreciate your help.
B1,CLAUSES/declarative,I do understand your concern.
B1,CLAUSES/declarative,I do think we should go there.
B1,CLAUSES/declarative,I do hope you can make it.
B1,CLAUSES/declarative,I do wish you a happy birthday.
A2,CLAUSES/imperatives,Close the door.
A2,CLAUSES/imperatives,Wash your hands before dinner.
A2,CLAUSES/imperatives,Read the instructions carefully.
A2,CLAUSES/imperatives,Take your shoes off at the door.
A2,CLAUSES/imperatives,Brush your teeth every morning.
A2,CLAUSES/imperatives,Finish your homework before playing.
A2,CLAUSES/imperatives,Put your toys away after you play.
A2,CLAUSES/imperatives,Sit down and wait for your turn.
A2,CLAUSES/imperatives,Close the door behind you.
A2,CLAUSES/imperatives,Wash your hands before eating.
A2,CLAUSES/imperatives,Turn off the lights when you leave.
A2,CLAUSES/imperatives,Take the first left at the traffic light.
A2,CLAUSES/imperatives,Put your toys away after playing.
A2,CLAUSES/imperatives,"Bring a jacket, it might get cold."
A2,CLAUSES/imperatives,Read the instructions carefully before starting.
A2,CLAUSES/imperatives,Leave your shoes by the door.
A2,CLAUSES/imperatives,Brush your teeth twice a day.
A2,CLAUSES/imperatives,Email me back.
A2,CLAUSES/imperatives,Write soon.
A2,CLAUSES/imperatives,Call me later.
A2,CLAUSES/imperatives,Come over soon.
A2,CLAUSES/imperatives,Take care.
A2,CLAUSES/imperatives,See you soon.
A2,CLAUSES/imperatives,Stay in touch.
A2,CLAUSES/imperatives,Drop by anytime.
A2,CLAUSES/imperatives,Have a good day.
A2,CLAUSES/imperatives,Don't forget to write.
A2,CLAUSES/imperatives,Don't forget your keys.
A2,CLAUSES/imperatives,Don't touch the hot stove.
A2,CLAUSES/imperatives,Don't speak to strangers.
A2,CLAUSES/imperatives,Don't leave the door open.
A2,CLAUSES/imperatives,"Don't eat that, it's spoiled."
A2,CLAUSES/imperatives,Don't run in the hallway.
A2,CLAUSES/imperatives,Don't forget to say thank you.
A2,CLAUSES/imperatives,"Let's go to the park, it's a nice day."
A2,CLAUSES/imperatives,Let's watch a movie tonight.
A2,CLAUSES/imperatives,Let's try the new restaurant.
A2,CLAUSES/imperatives,Let's take a walk after dinner.
A2,CLAUSES/imperatives,Let's buy some ice cream.
A2,CLAUSES/imperatives,Let's play a game together.
A2,CLAUSES/imperatives,Let's call our friends and invite them over.
A2,CLAUSES/imperatives,Don't touch the hot stove.
A2,CLAUSES/imperatives,Remember to bring your books. Don't forget.
A2,CLAUSES/imperatives,Close the door behind you. Don't leave it open.
A2,CLAUSES/imperatives,Clean your room before dinner. Don't leave it messy.
A2,CLAUSES/imperatives,Turn off the lights when you leave. Don't waste electricity.
A2,CLAUSES/imperatives,Wash your hands before eating. Don't skip this step.
A2,CLAUSES/imperatives,Put your toys away after playing. Don't leave them out.
A2,CLAUSES/imperatives,Finish your homework first. Don't start watching TV.
A2,CLAUSES/imperatives,Lock the door when you go out. Don't leave it unlocked.
A2,CLAUSES/imperatives,Call me when you arrive. Don't forget to check in.
B1,CLAUSES/imperatives,Do write back and let me know all your news.
B1,CLAUSES/imperatives,Do let me know your views on this.
B1,CLAUSES/imperatives,Do follow the instructions.
B1,CLAUSES/imperatives,Do remember to lock the door.
B1,CLAUSES/imperatives,Do come early tomorrow.
B1,CLAUSES/imperatives,Do make sure you finish your homework.
B1,CLAUSES/imperatives,Do be careful when crossing the street.
B1,CLAUSES/imperatives,Do inform me if you need any help.
B1,CLAUSES/imperatives,Do take care of yourself.
B1,CLAUSES/imperatives,Do study hard for your exams.
B1,CLAUSES/imperatives,"Have a cup of tea, it's freshly brewed."
B1,CLAUSES/imperatives,"Join us for dinner tonight, we've made your favorite dish."
B1,CLAUSES/imperatives,"Sit down and relax, you've had a long day."
B1,CLAUSES/imperatives,"Come over for a barbecue this Saturday, the weather will be perfect."
B1,CLAUSES/imperatives,"Bring your friends along, the more the merrier."
B1,CLAUSES/imperatives,"Stay for dessert, I baked your favorite cake."
B1,CLAUSES/imperatives,"Come to the party next Friday, it's going to be a blast."
B1,CLAUSES/imperatives,"Help yourself to some snacks, they're on the table."
B1,CLAUSES/imperatives,"Join us for a walk in the park, it's a beautiful day."
B1,CLAUSES/imperatives,Let me show you the way.
B1,CLAUSES/imperatives,Let me help you with that.
B1,CLAUSES/imperatives,Let me introduce myself.
B1,CLAUSES/imperatives,Let me clarify that point.
B1,CLAUSES/imperatives,Let me give you an example.
B1,CLAUSES/imperatives,Let me suggest a solution.
B1,CLAUSES/imperatives,Let me share some information.
B2,CLAUSES/imperatives,Let's not argue over small things anymore.
B2,CLAUSES/imperatives,Let's not waste time on unproductive tasks.
B2,CLAUSES/imperatives,Let's not ignore the warning signs this time.
B2,CLAUSES/imperatives,Let's not rush into decisions without thinking.
B2,CLAUSES/imperatives,Let's not underestimate the power of teamwork.
B2,CLAUSES/imperatives,Let's not forget to take breaks during work.
B2,CLAUSES/imperatives,Let's not assume everyone shares our opinions.
B2,CLAUSES/imperatives,Let's not leave the planning until the last minute.
B2,CLAUSES/imperatives,Let's not neglect our health for work commitments.
B2,CLAUSES/imperatives,Let's not be too hard on ourselves for mistakes.
B2,CLAUSES/imperatives,Do not underestimate the importance of regular exercise.
B2,CLAUSES/imperatives,Do not be late for the meeting tomorrow morning.
B2,CLAUSES/imperatives,Do not touch the hot stove under any circumstances.
B2,CLAUSES/imperatives,Do not forget to lock the door before leaving the house.
B2,CLAUSES/imperatives,Do not make any sudden movements or you might scare the animals.
B2,CLAUSES/imperatives,Do not hesitate to ask questions if you don't understand something.
B2,CLAUSES/imperatives,Do not throw trash on the ground; use the bins provided.
B2,CLAUSES/imperatives,Do not attempt to fix the problem yourself; call a professional.
B2,CLAUSES/imperatives,Do not forget to bring your passport when traveling abroad.
B2,CLAUSES/imperatives,Do not ignore the warning signs; they are there for a reason.
C1,CLAUSES/imperatives,Let him choose the movie tonight.
C1,CLAUSES/imperatives,Let her decide where we eat.
C1,CLAUSES/imperatives,Let them play outside for a while.
C1,CLAUSES/imperatives,Let him take the lead on this project.
C1,CLAUSES/imperatives,Let her speak her mind without interruption.
C1,CLAUSES/imperatives,Let them stay up a little later tonight.
C1,CLAUSES/imperatives,Let him handle the arrangements for the trip.
C1,CLAUSES/imperatives,Let her take a break from her studies.
C1,CLAUSES/imperatives,Let them explore the city on their own.
C1,CLAUSES/imperatives,Let him try the new recipe without any help.
C1,CLAUSES/imperatives,"Don't let her stay up too late, she needs her rest."
C1,CLAUSES/imperatives,Don't let them use your phone without permission.
C1,CLAUSES/imperatives,Don't let him drive if he's had too much to drink.
C1,CLAUSES/imperatives,Don't let them eat junk food every day.
C1,CLAUSES/imperatives,Don't let her walk home alone after dark.
C1,CLAUSES/imperatives,"Don't let them borrow your car, they might damage it."
C1,CLAUSES/imperatives,"Don't let him skip his homework, it's important."
C1,CLAUSES/imperatives,Don't let them interrupt you while you're working.
C1,CLAUSES/imperatives,Refer to the appendix for detailed methodology.
C1,CLAUSES/imperatives,Examine the highlighted section on page 12.
C1,CLAUSES/imperatives,Consider the data presented in Table 3.
C1,CLAUSES/imperatives,Review the abstract for a summary of findings.
C1,CLAUSES/imperatives,Observe the trend indicated by the red line.
C1,CLAUSES/imperatives,Consult the bibliography for further reading.
C1,CLAUSES/imperatives,Note the key points outlined in the executive summary.
C1,CLAUSES/imperatives,Stay focused and you'll achieve your goals.
C1,CLAUSES/imperatives,Practice regularly and you'll improve your skills.
C1,CLAUSES/imperatives,Take care of yourself and you'll feel better.
C1,CLAUSES/imperatives,Be honest and you'll gain trust.
C1,CLAUSES/imperatives,Work hard and you'll succeed.
C1,CLAUSES/imperatives,Be patient and you'll see results.
C1,CLAUSES/imperatives,Listen carefully and you'll understand better.
C1,CLAUSES/imperatives,Save money and you'll have a secure future.
C1,CLAUSES/imperatives,Be kind and you'll make friends easily.
C1,CLAUSES/imperatives,Exercise daily and you'll stay healthy.
C2,CLAUSES/imperatives,Let him make his own decisions.
C2,CLAUSES/imperatives,Let them handle the situation on their own.
C2,CLAUSES/imperatives,Let her choose the best course of action.
C2,CLAUSES/imperatives,Let them resolve their own conflicts.
C2,CLAUSES/imperatives,Let him take the lead in this project.
C2,CLAUSES/imperatives,Let them decide where to go for dinner.
C2,CLAUSES/imperatives,Let her deal with the consequences herself.
C2,CLAUSES/imperatives,Let them figure out the solution independently.
C2,CLAUSES/imperatives,Let him manage his own schedule.
C2,CLAUSES/imperatives,Let them take care of their own responsibilities.
C2,CLAUSES/imperatives,Don't you ever lie to me again!
C2,CLAUSES/imperatives,Don't you dare touch that!
C2,CLAUSES/imperatives,Don't you dare leave me hanging!
C2,CLAUSES/imperatives,Don't you ever think about betraying me!
C2,CLAUSES/imperatives,Don't you dare speak to me like that!
C2,CLAUSES/imperatives,Don't you ever come back here!
C2,CLAUSES/imperatives,Don't you dare ignore my warning!
C2,CLAUSES/imperatives,Don't you ever question my authority!
C2,CLAUSES/imperatives,Don't you dare walk away from this!
C2,CLAUSES/imperatives,Don't you ever doubt my loyalty!
A1,CLAUSES/interrogatives,Are you happy?
A1,CLAUSES/interrogatives,Is she here?
A1,CLAUSES/interrogatives,Is it cold?
A1,CLAUSES/interrogatives,Are we ready?
A1,CLAUSES/interrogatives,Is he coming?
A1,CLAUSES/interrogatives,Are they busy?
A1,CLAUSES/interrogatives,Is the sun shining?
A1,CLAUSES/interrogatives,Is the door open?
A2,CLAUSES/interrogatives,Are you ready for the meeting?
A2,CLAUSES/interrogatives,Have you finished your homework?
A2,CLAUSES/interrogatives,Is she coming to the birthday party?
A2,CLAUSES/interrogatives,Have they arrived at the airport yet?
A2,CLAUSES/interrogatives,Are we meeting at the café?
A2,CLAUSES/interrogatives,Have you seen the new movie?
A2,CLAUSES/interrogatives,Is it raining outside?
A2,CLAUSES/interrogatives,Have you been to Paris before?
A2,CLAUSES/interrogatives,Are they playing football today?
A2,CLAUSES/interrogatives,Have you bought the tickets?
A2,CLAUSES/interrogatives,Do you like coffee?
A2,CLAUSES/interrogatives,Did you finish your homework?
A2,CLAUSES/interrogatives,Do you speak French?
A2,CLAUSES/interrogatives,Did you see the movie?
A2,CLAUSES/interrogatives,Do you have a pet?
A2,CLAUSES/interrogatives,Did you go to the party?
A2,CLAUSES/interrogatives,Do you play the guitar?
A2,CLAUSES/interrogatives,Did you read the book?
A2,CLAUSES/interrogatives,Do you understand the lesson?
A2,CLAUSES/interrogatives,Did you meet your friend?
A2,CLAUSES/interrogatives,Can you help me with this?
A2,CLAUSES/interrogatives,Would you like to join us?
A2,CLAUSES/interrogatives,Could I borrow your pen?
A2,CLAUSES/interrogatives,Should we wait for them?
A2,CLAUSES/interrogatives,Might you have a spare ticket?
A2,CLAUSES/interrogatives,May I ask you a question?
A2,CLAUSES/interrogatives,Will you be home later?
A2,CLAUSES/interrogatives,Shall I call you tomorrow?
A2,CLAUSES/interrogatives,Can you please explain that again?
A2,CLAUSES/interrogatives,Would you mind closing the door?
A2,CLAUSES/interrogatives,What did you see?
A2,CLAUSES/interrogatives,Who did you meet?
A2,CLAUSES/interrogatives,When will you leave?
A2,CLAUSES/interrogatives,Where did you find it?
A2,CLAUSES/interrogatives,Why did you choose that?
A2,CLAUSES/interrogatives,How did you solve it?
A2,CLAUSES/interrogatives,Which one did you prefer?
A2,CLAUSES/interrogatives,Whose book is this?
A2,CLAUSES/interrogatives,When did you start?
A2,CLAUSES/interrogatives,Where did you hide it?
A2,CLAUSES/interrogatives,Why don't you call your friend?
A2,CLAUSES/interrogatives,Why didn't she bring her book?
A2,CLAUSES/interrogatives,Why can't we go to the park today?
A2,CLAUSES/interrogatives,Why doesn't he like ice cream?
A2,CLAUSES/interrogatives,Why didn't they invite us to the party?
A2,CLAUSES/interrogatives,Why can't you finish your homework?
A2,CLAUSES/interrogatives,Why don't we visit the museum?
A2,CLAUSES/interrogatives,Why didn't you tell me earlier?
A2,CLAUSES/interrogatives,Why can't we have pizza for dinner?
A2,CLAUSES/interrogatives,Why doesn't she want to join us?
A2,CLAUSES/interrogatives,Isn't he coming?
A2,CLAUSES/interrogatives,Don't they understand?
A2,CLAUSES/interrogatives,Haven't we met before?
A2,CLAUSES/interrogatives,Didn't she finish her homework?
A2,CLAUSES/interrogatives,Aren't you hungry?
A2,CLAUSES/interrogatives,Can't we go now?
A2,CLAUSES/interrogatives,Didn't he say that?
A2,CLAUSES/interrogatives,Won't it rain today?
A2,CLAUSES/interrogatives,Aren't we late?
A2,CLAUSES/interrogatives,Isn't it time to go?
B1,CLAUSES/interrogatives,What happened?
B1,CLAUSES/interrogatives,Who cares?
B1,CLAUSES/interrogatives,Who knows?
B1,CLAUSES/interrogatives,Which one is correct?
B1,CLAUSES/interrogatives,Who is responsible?
B1,CLAUSES/interrogatives,What is the problem?
B1,CLAUSES/interrogatives,Who is coming?
B1,CLAUSES/interrogatives,What is the plan?
B1,CLAUSES/interrogatives,Who is next?
B1,CLAUSES/interrogatives,What is the issue?
B1,CLAUSES/interrogatives,Have you ever been to Marseille?
B1,CLAUSES/interrogatives,What kind of books do you usually read?
B1,CLAUSES/interrogatives,Do you still remember my best friend?
B1,CLAUSES/interrogatives,Is she always on time?
B1,CLAUSES/interrogatives,Does he often play soccer?
B1,CLAUSES/interrogatives,Can you really help me with this?
B1,CLAUSES/interrogatives,Are they still working on the project?
B1,CLAUSES/interrogatives,Did she ever mention her trip?
B1,CLAUSES/interrogatives,Do you sometimes feel lonely?
B1,CLAUSES/interrogatives,Has he always been so generous?
B1,CLAUSES/interrogatives,The book which you recommended is very interesting.
B1,CLAUSES/interrogatives,The person whose car was stolen reported it to the police.
B1,CLAUSES/interrogatives,The hotel which has a swimming pool is very expensive.
B1,CLAUSES/interrogatives,The teacher whose class I am in is very strict.
B1,CLAUSES/interrogatives,The restaurant which serves Italian food is always crowded.
B1,CLAUSES/interrogatives,The student whose homework was late got a detention.
B1,CLAUSES/interrogatives,The movie which won an award is now showing in theaters.
B1,CLAUSES/interrogatives,The company whose products are popular is expanding.
B1,CLAUSES/interrogatives,The park which has a playground is great for kids.
B1,CLAUSES/interrogatives,The artist whose paintings are famous is coming to town.
B2,CLAUSES/interrogatives,Hasn't she ever visited Paris?
B2,CLAUSES/interrogatives,Don't they always complain about the weather?
B2,CLAUSES/interrogatives,Hasn't he ever tried sushi?
B2,CLAUSES/interrogatives,Isn't it always raining in London?
B2,CLAUSES/interrogatives,Haven't we ever discussed this before?
B2,CLAUSES/interrogatives,Doesn't she ever take a break?
B2,CLAUSES/interrogatives,Hasn't he ever been to a concert?
B2,CLAUSES/interrogatives,Aren't they always late?
B2,CLAUSES/interrogatives,Haven't you ever seen a shooting star?
A2,CLAUSES/phrases/exclamations,What a beautiful day!
A2,CLAUSES/phrases/exclamations,What a lovely dress she is wearing!
A2,CLAUSES/phrases/exclamations,What a surprise party we had!
A2,CLAUSES/phrases/exclamations,What a delicious meal we ate!
A2,CLAUSES/phrases/exclamations,What a funny story he told!
A2,CLAUSES/phrases/exclamations,What a helpful person she is!
A2,CLAUSES/phrases/exclamations,What a wonderful vacation we had!
A2,CLAUSES/phrases/exclamations,What a clever solution to the problem!
A2,CLAUSES/phrases/exclamations,What a noisy city it is!
A2,CLAUSES/phrases/exclamations,What a sad movie we watched!
A2,CLAUSES/phrases/exclamations,What a pity that the weather ruined our picnic.
A2,CLAUSES/phrases/exclamations,What a pity you missed the concert.
A2,CLAUSES/phrases/exclamations,What a pity that the store is closed.
A2,CLAUSES/phrases/exclamations,What a pity you didn't get the job.
A2,CLAUSES/phrases/exclamations,What a pity that the movie was sold out.
A2,CLAUSES/phrases/exclamations,What a pity you forgot your umbrella.
A2,CLAUSES/phrases/exclamations,What a pity that the game was canceled.
A2,CLAUSES/phrases/exclamations,What a pity you didn't see the fireworks.
A2,CLAUSES/phrases/exclamations,What a pity that the restaurant was fully booked.
A2,CLAUSES/phrases/exclamations,What a pity you didn't finish your homework.
B1,CLAUSES/phrases/exclamations,How beautiful!
B1,CLAUSES/phrases/exclamations,How interesting!
B1,CLAUSES/phrases/exclamations,How frustrating!
B1,CLAUSES/phrases/exclamations,How wonderful!
B1,CLAUSES/phrases/exclamations,How scary!
B1,CLAUSES/phrases/exclamations,How amazing!
B1,CLAUSES/phrases/exclamations,How surprising!
B1,CLAUSES/phrases/exclamations,How delightful!
B1,CLAUSES/phrases/exclamations,How amazing it is that you finished the marathon!
B1,CLAUSES/phrases/exclamations,How wonderful it would be to travel the world.
B1,CLAUSES/phrases/exclamations,How sad I am that you're leaving.
B1,CLAUSES/phrases/exclamations,How exciting it is to start a new job.
B1,CLAUSES/phrases/exclamations,How frustrating it can be to lose your keys.
B1,CLAUSES/phrases/exclamations,How surprising it was to see you here.
B1,CLAUSES/phrases/exclamations,How delightful it is to hear your voice.
B1,CLAUSES/phrases/exclamations,How annoying it is when the internet goes down.
B1,CLAUSES/phrases/exclamations,How incredible it feels to achieve your goals.
B1,CLAUSES/phrases/exclamations,How interesting it is to learn about different cultures.
B2,CLAUSES/phrases/exclamations,Hasn't she done an amazing job?
B2,CLAUSES/phrases/exclamations,Aren't they just adorable?
B2,CLAUSES/phrases/exclamations,Isn't it incredible how far we've come?
